# experiment P-144 (R-144)
# hypothesis: P-142 closes gyroid; fbm_terrain remains open, and the question is whether it can be closed at all rather than whether some formula applies. A periodic lattice-noise field with a fixed seed is a deterministic function with a definite chi, so the question is empirical: does it converge with resolution, and is it stable enough to gate on? (C1) With periodic wrap and a fixed seed, measured chi converges as resolution increases and is stable to at least 65^3. (C2) chi varies across seeds, so the gate must be per-seed rather than per-field -- stated in advance so nobody writes a single constant into the suite. SHARE: none.
# falsified by: C1 by chi still moving at the highest tested resolution, which would say the field is not resolved and no oracle is available at game resolutions -- the likely outcome and worth recording. C2 by seed-independent chi, which would be surprising and would make the gate much cheaper. VACUITY CONTROL: at least three seeds must be run, or C2 cannot fire.
# commit ad28433 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:29:17Z
field,octaves,period,wrap_mode,chi_measured,chi_variance_across_seeds,chi_stable,oracle_exists,resolution_convergence,c1_holds,c2_holds,boundary_edges,cell_size,cells_per_axis,chi_delta_from_top,chi_span_across_seeds,chi_top_rung,edges,extract_ms,faces,finest_lattice_cells_per_axis,identified_pairs,iso,max_periodicity_residual,min_seed_separation,non_manifold_edges,samples_per_axis,seed,triangles,vertices,voxels_per_finest_lattice_cell
periodic_value_noise,3,4,periodic,-32,160.000000,false,false,never,false,true,0,0.250000000,16,10,32,-42,7992,3.855,5328,16,340,0.000,1.332e-15,1.064370,0,17,0x0badc0ffee0dd00d,5328,2632,1.000
periodic_value_noise,3,4,periodic,-40,197.440000,false,false,never,false,true,0,0.125000000,32,2,42,-42,28902,16.464,19268,16,638,0.000,1.332e-15,1.064370,0,33,0x0badc0ffee0dd00d,19268,9594,2.000
periodic_value_noise,3,4,periodic,-44,213.760000,false,false,never,false,true,0,0.083333333,48,-2,42,-42,65454,42.257,43636,16,950,0.000,1.332e-15,1.064370,0,49,0x0badc0ffee0dd00d,43636,21774,3.000
periodic_value_noise,3,4,periodic,-48,178.240000,false,false,never,false,true,0,0.062500000,64,-6,38,-42,117063,85.602,78042,16,1275,0.000,1.332e-15,1.064370,0,65,0x0badc0ffee0dd00d,78042,38973,4.000
periodic_value_noise,3,4,periodic,-44,207.040000,false,false,never,false,true,0,0.050000000,80,-2,40,-42,183522,150.396,122348,16,1584,0.000,1.332e-15,1.064370,0,81,0x0badc0ffee0dd00d,122348,61130,5.000
periodic_value_noise,3,4,periodic,-44,224.000000,false,false,never,false,true,0,0.041666667,96,-2,42,-42,263892,241.323,175928,16,1904,0.000,1.332e-15,1.064370,0,97,0x0badc0ffee0dd00d,175928,87920,6.000
periodic_value_noise,3,4,periodic,-42,228.160000,false,false,never,false,true,0,0.031250000,128,0,42,-42,470436,515.956,313624,16,2540,0.000,1.332e-15,1.064370,0,129,0x0badc0ffee0dd00d,313624,156770,8.000
periodic_value_noise,3,4,periodic,-16,160.000000,false,false,never,false,true,0,0.250000000,16,16,32,-32,8004,3.838,5336,16,304,0.000,1.332e-15,1.064370,0,17,0x123456789abcdef0,5336,2652,1.000
periodic_value_noise,3,4,periodic,-28,197.440000,false,false,never,false,true,0,0.125000000,32,4,42,-32,29196,16.408,19464,16,596,0.000,1.332e-15,1.064370,0,33,0x123456789abcdef0,19464,9704,2.000
periodic_value_noise,3,4,periodic,-34,213.760000,false,false,never,false,true,0,0.083333333,48,-2,42,-32,66393,42.787,44262,16,885,0.000,1.332e-15,1.064370,0,49,0x123456789abcdef0,44262,22097,3.000
periodic_value_noise,3,4,periodic,-32,178.240000,false,false,never,false,true,0,0.062500000,64,0,38,-32,118542,85.903,79028,16,1204,0.000,1.332e-15,1.064370,0,65,0x123456789abcdef0,79028,39482,4.000
periodic_value_noise,3,4,periodic,-32,207.040000,false,false,never,false,true,0,0.050000000,80,0,40,-32,185028,150.633,123352,16,1512,0.000,1.332e-15,1.064370,0,81,0x123456789abcdef0,123352,61644,5.000
periodic_value_noise,3,4,periodic,-36,224.000000,false,false,never,false,true,0,0.041666667,96,-4,42,-32,267174,241.242,178116,16,1794,0.000,1.332e-15,1.064370,0,97,0x123456789abcdef0,178116,89022,6.000
periodic_value_noise,3,4,periodic,-32,228.160000,false,false,never,false,true,0,0.031250000,128,0,42,-32,474939,516.839,316626,16,2405,0.000,1.332e-15,1.064370,0,129,0x123456789abcdef0,316626,158281,8.000
periodic_value_noise,3,4,periodic,-28,160.000000,false,false,97,false,true,0,0.250000000,16,12,32,-40,7284,3.582,4856,16,298,0.000,1.332e-15,1.064370,0,17,0xf00dfacecafeb0ba,4856,2400,1.000
periodic_value_noise,3,4,periodic,-26,197.440000,false,false,97,false,true,0,0.125000000,32,14,42,-40,26892,15.631,17928,16,574,0.000,1.332e-15,1.064370,0,33,0xf00dfacecafeb0ba,17928,8938,2.000
periodic_value_noise,3,4,periodic,-38,213.760000,false,false,97,false,true,0,0.083333333,48,2,42,-40,60912,40.642,40608,16,840,0.000,1.332e-15,1.064370,0,49,0xf00dfacecafeb0ba,40608,20266,3.000
periodic_value_noise,3,4,periodic,-40,178.240000,false,false,97,false,true,0,0.062500000,64,0,38,-40,108282,82.556,72188,16,1118,0.000,1.332e-15,1.064370,0,65,0xf00dfacecafeb0ba,72188,36054,4.000
periodic_value_noise,3,4,periodic,-42,207.040000,false,false,97,false,true,0,0.050000000,80,-2,40,-40,170097,145.623,113398,16,1407,0.000,1.332e-15,1.064370,0,81,0xf00dfacecafeb0ba,113398,56657,5.000
periodic_value_noise,3,4,periodic,-40,224.000000,true,false,97,false,true,0,0.041666667,96,0,42,-40,245340,234.368,163560,16,1700,0.000,1.332e-15,1.064370,0,97,0xf00dfacecafeb0ba,163560,81740,6.000
periodic_value_noise,3,4,periodic,-40,228.160000,false,false,97,false,true,0,0.031250000,128,0,42,-40,436041,503.943,290694,16,2257,0.000,1.332e-15,1.064370,0,129,0xf00dfacecafeb0ba,290694,145307,8.000
